case_id,layer,intervention,rho_mean,rho_std
BraTS2021_01229,decoder2,noise,1.311066433787346,0.0010348918099413
BraTS2021_01229,decoder1,zero,1.0,0.0
BraTS2021_01229,decoder1,mean,0.8144960775971413,0.0019944445418594
BraTS2021_01229,decoder1,noise,1.2897590845823288,0.001483057550069
BraTS2021_01227,encoder1,zero,1.0,0.0
BraTS2021_01227,encoder1,mean,0.8242375031113625,0.0037589887040451
BraTS2021_01227,encoder1,noise,1.2956706583499908,0.0022885065342461
BraTS2021_01227,encoder2,zero,1.0,0.0
BraTS2021_01227,encoder2,mean,0.8517477884888649,0.0009245345514086
BraTS2021_01227,encoder2,noise,1.3134079575538635,0.0005844868939799
BraTS2021_01227,encoder3,zero,1.0,0.0
BraTS2021_01227,encoder3,mean,0.9351460710167884,0.0020561876092661
BraTS2021_01227,encoder3,noise,1.3688728362321854,0.002450751141132
BraTS2021_01227,encoder4,zero,1.0,0.0
BraTS2021_01227,encoder4,mean,0.9296355992555618,0.004834220512659
BraTS2021_01227,encoder4,noise,1.3652978539466858,0.0044025303325958
BraTS2021_01227,bottleneck,zero,1.0,0.0
BraTS2021_01227,bottleneck,mean,0.8494544625282288,0.0092663303334591
BraTS2021_01227,bottleneck,noise,1.3197901993989944,0.0045673534632152
BraTS2021_01227,decoder4,zero,1.0,0.0
BraTS2021_01227,decoder4,mean,0.6883154585957527,0.0127082708635093
BraTS2021_01227,decoder4,noise,1.2141272872686386,0.0070543749000929
BraTS2021_01227,decoder3,zero,1.0,0.0
BraTS2021_01227,decoder3,mean,0.860174722969532,0.0040530855126899
BraTS2021_01227,decoder3,noise,1.3187659233808515,0.0032362415147045
BraTS2021_01227,decoder2,zero,1.0,0.0
BraTS2021_01227,decoder2,mean,0.8522974923253059,0.0010551783726621
BraTS2021_01227,decoder2,noise,1.3142659664154053,0.0009692488347135
BraTS2021_01227,decoder1,zero,1.0,0.0
BraTS2021_01227,decoder1,mean,0.8167029991745949,0.0007105071582002
BraTS2021_01227,decoder1,noise,1.2910201400518415,0.0005668200727134
BraTS2021_01220,encoder1,zero,1.0,0.0
BraTS2021_01220,encoder1,mean,0.8213173449039459,0.0020013270879366
BraTS2021_01220,encoder1,noise,1.2941037267446518,0.0011323938337255
BraTS2021_01220,encoder2,zero,1.0,0.0
BraTS2021_01220,encoder2,mean,0.850088432431221,0.0018138087862339
BraTS2021_01220,encoder2,noise,1.312511295080185,0.0011560675860546
BraTS2021_01220,encoder3,zero,1.0,0.0
BraTS2021_01220,encoder3,mean,0.936767801642418,0.0017293108690047
BraTS2021_01220,encoder3,noise,1.3703204542398453,0.0022232204540922
BraTS2021_01220,encoder4,zero,1.0,0.0
BraTS2021_01220,encoder4,mean,0.9328924342989922,0.0063648862202605
BraTS2021_01220,encoder4,noise,1.3690006136894226,0.0048768267796097
BraTS2021_01220,bottleneck,zero,1.0,0.0
BraTS2021_01220,bottleneck,mean,0.865391455590725,0.0168786696174325
BraTS2021_01220,bottleneck,noise,1.328515142202377,0.010218076777587
BraTS2021_01220,decoder4,zero,1.0,0.0
BraTS2021_01220,decoder4,mean,0.6862811595201492,0.0235608643941759
BraTS2021_01220,decoder4,noise,1.2132911086082458,0.0145304056283402
BraTS2021_01220,decoder3,zero,1.0,0.0
BraTS2021_01220,decoder3,mean,0.8691480830311775,0.0109255423097381
BraTS2021_01220,decoder3,noise,1.3247741609811785,0.0073570927011723
BraTS2021_01220,decoder2,zero,1.0,0.0
BraTS2021_01220,decoder2,mean,0.8509634360671043,0.0007035217482099
BraTS2021_01220,decoder2,noise,1.313441589474678,0.0004348481724572
BraTS2021_01220,decoder1,zero,1.0,0.0
BraTS2021_01220,decoder1,mean,0.8094848841428757,0.0009728084343955
BraTS2021_01220,decoder1,noise,1.2866561561822891,0.0006122529733786
BraTS2021_01218,encoder1,zero,1.0,0.0
BraTS2021_01218,encoder1,mean,0.798515260219574,0.0023333295118518
BraTS2021_01218,encoder1,noise,1.2796958237886429,0.0014506827938093
BraTS2021_01218,encoder2,zero,1.0,0.0
BraTS2021_01218,encoder2,mean,0.8234587237238884,0.0016175262399795
BraTS2021_01218,encoder2,noise,1.2953077852725985,0.0012065009810553
BraTS2021_01218,encoder3,zero,1.0,0.0
BraTS2021_01218,encoder3,mean,0.9100379124283792,0.0045909108632955
BraTS2021_01218,encoder3,noise,1.3529714792966845,0.0032027085835798
BraTS2021_01218,encoder4,zero,1.0,0.0
BraTS2021_01218,encoder4,mean,0.9222436398267746,0.0021445038986823
BraTS2021_01218,encoder4,noise,1.3617791384458542,0.003440331296045
BraTS2021_01218,bottleneck,zero,1.0,0.0
BraTS2021_01218,bottleneck,mean,0.8602336570620537,0.0174431225463278
BraTS2021_01218,bottleneck,noise,1.3221505731344223,0.012349540428098
BraTS2021_01218,decoder4,zero,1.0,0.0
BraTS2021_01218,decoder4,mean,0.6882383152842522,0.0205992020958817
BraTS2021_01218,decoder4,noise,1.2148705571889875,0.0115860526801588
BraTS2021_01218,decoder3,zero,1.0,0.0
BraTS2021_01218,decoder3,mean,0.8528055027127266,0.0040985632632342
BraTS2021_01218,decoder3,noise,1.3143884390592575,0.0034261445305914
BraTS2021_01218,decoder2,zero,1.0,0.0
BraTS2021_01218,decoder2,mean,0.8346065059304237,0.002379269998063
BraTS2021_01218,decoder2,noise,1.3027982413768768,0.0012831438973412
BraTS2021_01218,decoder1,zero,1.0,0.0
BraTS2021_01218,decoder1,mean,0.8040278628468513,0.0020660817726305
BraTS2021_01218,decoder1,noise,1.283039391040802,0.0013178637978188
BraTS2021_01216,encoder1,zero,1.0,0.0
BraTS2021_01216,encoder1,mean,0.8150734677910805,0.0100237555162968
BraTS2021_01216,encoder1,noise,1.2899868190288544,0.0063456327810774
BraTS2021_01216,encoder2,zero,1.0,0.0
BraTS2021_01216,encoder2,mean,0.8375955671072006,0.001111530956588
BraTS2021_01216,encoder2,noise,1.3045111298561096,0.0007377052362762
BraTS2021_01216,encoder3,zero,1.0,0.0
BraTS2021_01216,encoder3,mean,0.9280161261558532,0.0013714674044539
BraTS2021_01216,encoder3,noise,1.364452674984932,0.0012115656538525
BraTS2021_01216,encoder4,zero,1.0,0.0
BraTS2021_01216,encoder4,mean,0.932684190571308,0.0040025974818527
BraTS2021_01216,encoder4,noise,1.3685140907764437,0.0028292544531904
BraTS2021_01216,bottleneck,zero,1.0,0.0
BraTS2021_01216,bottleneck,mean,0.8564249277114868,0.0165784375780516
BraTS2021_01216,bottleneck,noise,1.321737214922905,0.0107005504518209
BraTS2021_01216,decoder4,zero,1.0,0.0
BraTS2021_01216,decoder4,mean,0.6942500695586205,0.0175240432435335
BraTS2021_01216,decoder4,noise,1.2176077514886856,0.011063002003968
BraTS2021_01216,decoder3,zero,1.0,0.0
BraTS2021_01216,decoder3,mean,0.8621015176177025,0.0096547883704968
BraTS2021_01216,decoder3,noise,1.3207207471132278,0.0067413232235159
BraTS2021_01216,decoder2,zero,1.0,0.0
BraTS2021_01216,decoder2,mean,0.8436639830470085,0.0010625247243962
BraTS2021_01216,decoder2,noise,1.3084414452314377,0.0009808553328188
BraTS2021_01216,decoder1,zero,1.0,0.0
BraTS2021_01216,decoder1,mean,0.8117577061057091,0.0006284041086033
BraTS2021_01216,decoder1,noise,1.2880225330591202,0.0003877124557652
BraTS2021_01210,encoder1,zero,1.0,0.0
BraTS2021_01210,encoder1,mean,0.8006851300597191,0.0014753228675316
BraTS2021_01210,encoder1,noise,1.281190261244774,0.0009511228539916
BraTS2021_01210,encoder2,zero,1.0,0.0
BraTS2021_01210,encoder2,mean,0.8308824747800827,0.0013728329253705
BraTS2021_01210,encoder2,noise,1.3003255426883698,0.0009099619374127
BraTS2021_01210,encoder3,zero,1.0,0.0
BraTS2021_01210,encoder3,mean,0.9294798746705056,0.0021448790743203
BraTS2021_01210,encoder3,noise,1.3655084669589996,0.0021866226974189
BraTS2021_01210,encoder4,zero,1.0,0.0
BraTS2021_01210,encoder4,mean,0.9343938529491423,0.0029810199708274
BraTS2021_01210,encoder4,noise,1.3680962771177292,0.002850908458995
BraTS2021_01210,bottleneck,zero,1.0,0.0
BraTS2021_01210,bottleneck,mean,0.8588461726903915,0.0165049366196362
BraTS2021_01210,bottleneck,noise,1.323282390832901,0.0110113725959446
BraTS2021_01210,decoder4,zero,1.0,0.0
BraTS2021_01210,decoder4,mean,0.6919909194111824,0.0167714513737502
BraTS2021_01210,decoder4,noise,1.216270089149475,0.0102339231303778
BraTS2021_01210,decoder3,zero,1.0,0.0
BraTS2021_01210,decoder3,mean,0.8748188391327858,0.0053518279606038
BraTS2021_01210,decoder3,noise,1.3280284702777865,0.0040443192581194
BraTS2021_01210,decoder2,zero,1.0,0.0
BraTS2021_01210,decoder2,mean,0.8440990298986435,0.0003948012811234
BraTS2021_01210,decoder2,noise,1.308745265007019,0.0006799550586957
BraTS2021_01210,decoder1,zero,1.0,0.0
BraTS2021_01210,decoder1,mean,0.8030112460255623,0.0003861225272209
BraTS2021_01210,decoder1,noise,1.282402977347374,0.0004395665247521
BraTS2021_01208,encoder1,zero,1.0,0.0
BraTS2021_01208,encoder1,mean,0.7888423874974251,0.0027080496862038
BraTS2021_01208,encoder1,noise,1.273731842637062,0.0016742520757691
BraTS2021_01208,encoder2,zero,1.0,0.0
BraTS2021_01208,encoder2,mean,0.8153587952256203,0.0015281695163748
BraTS2021_01208,encoder2,noise,1.2903666347265244,0.0011756543194655
BraTS2021_01208,encoder3,zero,1.0,0.0
BraTS2021_01208,encoder3,mean,0.8819847330451012,0.0086932829438533
BraTS2021_01208,encoder3,noise,1.333535596728325,0.0053679353292449
BraTS2021_01208,encoder4,zero,1.0,0.0
BraTS2021_01208,encoder4,mean,0.8905326575040817,0.0151192358587347
BraTS2021_01208,encoder4,noise,1.3405142426490784,0.0117668111632266
BraTS2021_01208,bottleneck,zero,1.0,0.0
BraTS2021_01208,bottleneck,mean,0.8595785349607468,0.0145006710443111
BraTS2021_01208,bottleneck,noise,1.327050507068634,0.0115226516999311
BraTS2021_01208,decoder4,zero,1.0,0.0
BraTS2021_01208,decoder4,mean,0.7052696943283081,0.0250966278968434
BraTS2021_01208,decoder4,noise,1.224855750799179,0.0159536947528028
BraTS2021_01208,decoder3,zero,1.0,0.0
BraTS2021_01208,decoder3,mean,0.831049732863903,0.0131590095081966
BraTS2021_01208,decoder3,noise,1.30060014128685,0.0090453325143812
BraTS2021_01208,decoder2,zero,1.0,0.0
BraTS2021_01208,decoder2,mean,0.8289500623941422,0.0027557960296467
BraTS2021_01208,decoder2,noise,1.2988374084234238,0.0017540557801485
BraTS2021_01208,decoder1,zero,1.0,0.0
BraTS2021_01208,decoder1,mean,0.7943831458687782,0.0028933101982589
BraTS2021_01208,decoder1,noise,1.277140811085701,0.0018752633029082
BraTS2021_01207,encoder1,zero,1.0,0.0
BraTS2021_01207,encoder1,mean,0.8033289238810539,0.0048262754843139
BraTS2021_01207,encoder1,noise,1.2828411012887957,0.0031683052522023
BraTS2021_01207,encoder2,zero,1.0,0.0
BraTS2021_01207,encoder2,mean,0.8335492312908173,0.0050007095033149
BraTS2021_01207,encoder2,noise,1.302074909210205,0.0033625694433979
BraTS2021_01207,encoder3,zero,1.0,0.0
BraTS2021_01207,encoder3,mean,0.9323542714118958,0.0062847880194908
BraTS2021_01207,encoder3,noise,1.367419883608818,0.0046706632393555
BraTS2021_01207,encoder4,zero,1.0,0.0
BraTS2021_01207,encoder4,mean,0.9321690499782562,0.0045029362284022
BraTS2021_01207,encoder4,noise,1.3675365149974823,0.003353155367127
BraTS2021_01207,bottleneck,zero,1.0,0.0
BraTS2021_01207,bottleneck,mean,0.8727442026138306,0.0091606582714746
BraTS2021_01207,bottleneck,noise,1.333928495645523,0.0076056366079295
BraTS2021_01207,decoder4,zero,1.0,0.0
BraTS2021_01207,decoder4,mean,0.6759089604020119,0.0205059918200562
BraTS2021_01207,decoder4,noise,1.2062588185071943,0.0125500210556236
BraTS2021_01207,decoder3,zero,1.0,0.0
BraTS2021_01207,decoder3,mean,0.8802361860871315,0.0068508016649492
BraTS2021_01207,decoder3,noise,1.33154958486557,0.0050083474975752
BraTS2021_01207,decoder2,zero,1.0,0.0
BraTS2021_01207,decoder2,mean,0.8457599505782127,0.0036068940882603
BraTS2021_01207,decoder2,noise,1.309734895825386,0.0024923231755992
BraTS2021_01207,decoder1,zero,1.0,0.0
BraTS2021_01207,decoder1,mean,0.8050147891044617,0.0050889149726276
BraTS2021_01207,decoder1,noise,1.283843755722046,0.0032235055742507
BraTS2021_01206,encoder1,zero,1.0,0.0
BraTS2021_01206,encoder1,mean,0.8075345307588577,0.006404121743559
BraTS2021_01206,encoder1,noise,1.2853583693504331,0.0041216713832114
BraTS2021_01206,encoder2,zero,1.0,0.0
BraTS2021_01206,encoder2,mean,0.8300442844629288,0.0088726432127137
BraTS2021_01206,encoder2,noise,1.2993542402982712,0.0053061768890214
BraTS2021_01206,encoder3,zero,1.0,0.0
BraTS2021_01206,encoder3,mean,0.9152904450893402,0.007971916983675
BraTS2021_01206,encoder3,noise,1.355467468500137,0.0044818697781894
BraTS2021_01206,encoder4,zero,1.0,0.0
BraTS2021_01206,encoder4,mean,0.9202418327331544,0.0027448075878356
BraTS2021_01206,encoder4,noise,1.3603639602661133,0.0028824562672652
BraTS2021_01206,bottleneck,zero,1.0,0.0
BraTS2021_01206,bottleneck,mean,0.8485318869352341,0.011245033740027
BraTS2021_01206,bottleneck,noise,1.3187361657619476,0.0082720741015674
BraTS2021_01206,decoder4,zero,1.0,0.0
BraTS2021_01206,decoder4,mean,0.6964384987950325,0.0093761945266018
BraTS2021_01206,decoder4,noise,1.220229908823967,0.006171014018364
BraTS2021_01206,decoder3,zero,1.0,0.0
BraTS2021_01206,decoder3,mean,0.848622515797615,0.0055723345632297
BraTS2021_01206,decoder3,noise,1.3119689971208572,0.0047360599219246
BraTS2021_01206,decoder2,zero,1.0,0.0
BraTS2021_01206,decoder2,mean,0.8408374935388565,0.0080346943278646
BraTS2021_01206,decoder2,noise,1.3064069002866745,0.0050525776398187
BraTS2021_01206,decoder1,zero,1.0,0.0
BraTS2021_01206,decoder1,mean,0.808172307908535,0.008393656027942
BraTS2021_01206,decoder1,noise,1.2858598828315737,0.0051921738170996
BraTS2021_01200,encoder1,zero,1.0,0.0
BraTS2021_01200,encoder1,mean,0.8042801544070244,0.0065632494425914
BraTS2021_01200,encoder1,noise,1.2831111550331116,0.0041108632135475
BraTS2021_01200,encoder2,zero,1.0,0.0
BraTS2021_01200,encoder2,mean,0.8340595811605453,0.0077815856503531
BraTS2021_01200,encoder2,noise,1.302355796098709,0.0050747837004787
BraTS2021_01200,encoder3,zero,1.0,0.0
BraTS2021_01200,encoder3,mean,0.9232859015464784,0.001760542964067
BraTS2021_01200,encoder3,noise,1.3607805669307709,0.0018197180184923
BraTS2021_01200,encoder4,zero,1.0,0.0
BraTS2021_01200,encoder4,mean,0.9229882061481476,0.0064036111768657
BraTS2021_01200,encoder4,noise,1.3612855076789856,0.0043194638703117
BraTS2021_01200,bottleneck,zero,1.0,0.0
BraTS2021_01200,bottleneck,mean,0.8631073981523514,0.0142388713066577
BraTS2021_01200,bottleneck,noise,1.3250944167375565,0.0093796409972902
BraTS2021_01200,decoder4,zero,1.0,0.0
BraTS2021_01200,decoder4,mean,0.6766479983925819,0.0144540285168898
BraTS2021_01200,decoder4,noise,1.2084846645593643,0.009049905198851
BraTS2021_01200,decoder3,zero,1.0,0.0
BraTS2021_01200,decoder3,mean,0.8573829308152199,0.0141281960759257
BraTS2021_01200,decoder3,noise,1.3180211335420609,0.0090469842862582
BraTS2021_01200,decoder2,zero,1.0,0.0
BraTS2021_01200,decoder2,mean,0.8436349332332611,0.0028115093605431
BraTS2021_01200,decoder2,noise,1.3083805739879608,0.0017299351062626
BraTS2021_01200,decoder1,zero,1.0,0.0
BraTS2021_01200,decoder1,mean,0.8065663576126099,0.0052063773425911
BraTS2021_01200,decoder1,noise,1.2847837507724762,0.0034581741404027
BraTS2021_01198,encoder1,zero,1.0,0.0
BraTS2021_01198,encoder1,mean,0.8001419678330421,0.0012180234991435
BraTS2021_01198,encoder1,noise,1.2805303484201431,0.0008379021969293
BraTS2021_01198,encoder2,zero,1.0,0.0
BraTS2021_01198,encoder2,mean,0.8284961432218552,0.0012357082771691
BraTS2021_01198,encoder2,noise,1.2986605614423752,0.0011176226943026
BraTS2021_01198,encoder3,zero,1.0,0.0
BraTS2021_01198,encoder3,mean,0.9114037454128264,0.0046153579250628
BraTS2021_01198,encoder3,noise,1.3531236350536346,0.0037851021795111
BraTS2021_01198,encoder4,zero,1.0,0.0
BraTS2021_01198,encoder4,mean,0.9232433065772055,0.0057132311526844
BraTS2021_01198,encoder4,noise,1.361252024769783,0.0044340693529774
BraTS2021_01198,bottleneck,zero,1.0,0.0
BraTS2021_01198,bottleneck,mean,0.8648172616958618,0.0143432377904275
BraTS2021_01198,bottleneck,noise,1.3277915120124817,0.008229472135929
BraTS2021_01198,decoder4,zero,1.0,0.0
BraTS2021_01198,decoder4,mean,0.6917063891887665,0.0202014840393882
BraTS2021_01198,decoder4,noise,1.2167158275842669,0.0118607661675795
BraTS2021_01198,decoder3,zero,1.0,0.0
BraTS2021_01198,decoder3,mean,0.8343386426568031,0.0060139734601742
BraTS2021_01198,decoder3,noise,1.30173622071743,0.0036200058637542
BraTS2021_01198,decoder2,zero,1.0,0.0
BraTS2021_01198,decoder2,mean,0.8430850878357887,0.0014055762452493
BraTS2021_01198,decoder2,noise,1.3082179874181747,0.0004847676226434
BraTS2021_01198,decoder1,zero,1.0,0.0
BraTS2021_01198,decoder1,mean,0.8111802563071251,0.0005376774105733
BraTS2021_01198,decoder1,noise,1.2874997556209564,0.0004351610481105
BraTS2021_01193,encoder1,zero,1.0,0.0
BraTS2021_01193,encoder1,mean,0.7989473268389702,0.0018863444318775
BraTS2021_01193,encoder1,noise,1.2799017280340197,0.0012905872534114
BraTS2021_01193,encoder2,zero,1.0,0.0
BraTS2021_01193,encoder2,mean,0.829176552593708,0.001544960416142
BraTS2021_01193,encoder2,noise,1.298852652311325,0.0008201951061426
BraTS2021_01193,encoder3,zero,1.0,0.0
BraTS2021_01193,encoder3,mean,0.9196799099445344,0.0030712864847206
BraTS2021_01193,encoder3,noise,1.359009489417076,0.0017093556864814
BraTS2021_01193,encoder4,zero,1.0,0.0
BraTS2021_01193,encoder4,mean,0.9221564829349518,0.0054225964009623
BraTS2021_01193,encoder4,noise,1.3605768531560898,0.0029350536782784
BraTS2021_01193,bottleneck,zero,1.0,0.0
BraTS2021_01193,bottleneck,mean,0.8689865842461586,0.0094986885220034
BraTS2021_01193,bottleneck,noise,1.3299849331378937,0.0060547459069135
BraTS2021_01193,decoder4,zero,1.0,0.0
BraTS2021_01193,decoder4,mean,0.6786224246025085,0.0208031315125837
BraTS2021_01193,decoder4,noise,1.2109265476465223,0.0120454688905938
BraTS2021_01193,decoder3,zero,1.0,0.0
BraTS2021_01193,decoder3,mean,0.8464671075344086,0.0090247675409439
BraTS2021_01193,decoder3,noise,1.3106563687324524,0.0064184836234097
BraTS2021_01193,decoder2,zero,1.0,0.0
BraTS2021_01193,decoder2,mean,0.8407710716128349,0.0019577120981124
BraTS2021_01193,decoder2,noise,1.3065549284219742,0.0013426815263594
BraTS2021_01193,decoder1,zero,1.0,0.0
BraTS2021_01193,decoder1,mean,0.8043463751673698,0.0024378898095687
BraTS2021_01193,decoder1,noise,1.2834369391202929,0.0015074242120487
BraTS2021_01192,encoder1,zero,1.0,0.0
BraTS2021_01192,encoder1,mean,0.8040250763297081,0.003259837849458
BraTS2021_01192,encoder1,noise,1.283057913184166,0.0021901431555976
BraTS2021_01192,encoder2,zero,1.0,0.0
BraTS2021_01192,encoder2,mean,0.8162469565868378,0.000571107297328
BraTS2021_01192,encoder2,noise,1.290894240140915,0.000560135183641
BraTS2021_01192,encoder3,zero,1.0,0.0
BraTS2021_01192,encoder3,mean,0.8867853060364723,0.0026729007377292
BraTS2021_01192,encoder3,noise,1.3369818329811096,0.0017687405790625
BraTS2021_01192,encoder4,zero,1.0,0.0
BraTS2021_01192,encoder4,mean,0.8981746435165405,0.0038809575793794
BraTS2021_01192,encoder4,noise,1.344782069325447,0.0031197980448323
BraTS2021_01192,bottleneck,zero,1.0,0.0
BraTS2021_01192,bottleneck,mean,0.8375674560666084,0.0063433676919458
BraTS2021_01192,bottleneck,noise,1.3080194145441055,0.0050208991429212
BraTS2021_01192,decoder4,zero,1.0,0.0
BraTS2021_01192,decoder4,mean,0.6989452913403511,0.0090144215041768
BraTS2021_01192,decoder4,noise,1.2195217609405518,0.0051224408168557
BraTS2021_01192,decoder3,zero,1.0,0.0
BraTS2021_01192,decoder3,mean,0.8215439394116402,0.001282901467837
BraTS2021_01192,decoder3,noise,1.294178068637848,0.0011923574332927
BraTS2021_01192,decoder2,zero,1.0,0.0
BraTS2021_01192,decoder2,mean,0.8284279778599739,0.0005109495146117
BraTS2021_01192,decoder2,noise,1.2988395243883133,0.0007111412381593
BraTS2021_01192,decoder1,zero,1.0,0.0
BraTS2021_01192,decoder1,mean,0.8116786032915115,0.0025501200502493
BraTS2021_01192,decoder1,noise,1.2880889326334,0.0015308681639928
BraTS2021_01190,encoder1,zero,1.0,0.0
BraTS2021_01190,encoder1,mean,0.8190688192844391,0.0025065816660799
BraTS2021_01190,encoder1,noise,1.292558267712593,0.0016391955187581
BraTS2021_01190,encoder2,zero,1.0,0.0
BraTS2021_01190,encoder2,mean,0.8333618342876434,0.0016077180491329
BraTS2021_01190,encoder2,noise,1.301631435751915,0.0013006214189527
BraTS2021_01190,encoder3,zero,1.0,0.0
BraTS2021_01190,encoder3,mean,0.9208638295531272,0.0050762276014492
BraTS2021_01190,encoder3,noise,1.3596678972244265,0.0032203499058936
BraTS2021_01190,encoder4,zero,1.0,0.0
BraTS2021_01190,encoder4,mean,0.9296506494283676,0.0066561639411215
BraTS2021_01190,encoder4,noise,1.3654816448688507,0.0039348816899182
BraTS2021_01190,bottleneck,zero,1.0,0.0
BraTS2021_01190,bottleneck,mean,0.8681683465838432,0.0130261367164268
BraTS2021_01190,bottleneck,noise,1.3279748857021332,0.0097231101271376
BraTS2021_01190,decoder4,zero,1.0,0.0
BraTS2021_01190,decoder4,mean,0.6891741827130318,0.0183096178032329
BraTS2021_01190,decoder4,noise,1.216056451201439,0.0102405118117335
BraTS2021_01190,decoder3,zero,1.0,0.0
BraTS2021_01190,decoder3,mean,0.8406893908977509,0.0057903048512417
BraTS2021_01190,decoder3,noise,1.3062589168548584,0.0039238396456635
BraTS2021_01190,decoder2,zero,1.0,0.0
BraTS2021_01190,decoder2,mean,0.8432022780179977,0.0019307496324928
